JobTitle_TechTopic,id,interviewQuestionCount,interviewReviewCount,name,averageOverallDifficulty,overallDifficultyCount,overallExperienceCount,overallPosExperiencePercent,overallPosExperienceCount,overallNeutExperiencePercent,overallNeutExperienceCount,overallNegExperiencePercent,overallNegExperienceCount
Accountant,42751,2,2,Etsy,3,4,4,25,1,50,2,25,1
Accountant,141437,4,2,BNP Paribas Securities Services,3.25,4,4,75,3,0,0,25,1
AP Analyst,83,2,2,Baxter,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Credit & Collection Analyst,4138,1,1,Accenture,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Customs Administrator,629075,3,3,Abbott Medical Optics,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Customs Administrator,100561,1,1,Indeed,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Customs Administrator,1737,2,1,Oracle,3.5,8,7,28.57143,2,0,0,71.42857,5
Customs Administrator,335551,1,1,EF Education First,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Master Data Analyst,429337,1,1,ESBI,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Data Analyst,1030981,11,10,GlobeTech,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Data Analyst,10478,7,6,Allied Irish Banks,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Data Analyst,232,3,3,Equifax,3.5,8,7,28.57143,2,0,0,71.42857,5
Data Analyst,801716,2,3,Zevas Communications,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Data Analyst,4138,6,2,Accenture,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Data Analyst,34865,2,2,LinkedIn,3.2,5,5,100,5,0,0,0,0
Data Analyst,53,2,2,Aon,3,5,5,100,5,0,0,0,0
Data Analyst,9079,2,2,Google,2.6666667,3,4,50,2,0,0,50,2
Data Analyst,150036,2,2,Analytic Partners,3,4,4,25,1,50,2,25,1
Data Analyst,213,2,2,Dun & Bradstreet,3.25,4,4,75,3,0,0,25,1
Senior Accountant,42751,2,2,Etsy,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Senior Accountant,227523,1,1,Citco,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Senior Accountant,83,1,1,Baxter,3.5,8,7,28.57143,2,0,0,71.42857,5
Senior Accountant,1737,1,1,Oracle,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Senior Accountant,3419,1,1,UBS,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Senior Accountant,227741,1,1,ION Trading,3.2,5,5,100,5,0,0,0,0
Technical Leader,10478,1,1,Allied Irish Banks,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Technical Manager,6036,4,4,Amazon,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Technical Manager,1651,1,1,Microsoft,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Technical Manager,13463,1,1,Ness Technologies,3.5,8,7,28.57143,2,0,0,71.42857,5
Technical Manager,11159,1,1,Salesforce,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Technical Manager,9848,1,1,PayPal,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Technical Manager,35791,1,1,Kepak Group,3.2,5,5,100,5,0,0,0,0
Technical Manager,42751,1,1,Etsy,3,5,5,100,5,0,0,0,0
Technical Manager,1327,1,1,Dell,2.6666667,3,4,50,2,0,0,50,2
Technical Manager,222862,1,1,Quantcast,3,4,4,25,1,50,2,25,1
Technical Manager,461657,1,1,New Relic,3.25,4,4,75,3,0,0,25,1
Warehouse Manager,7428,1,1,Lidl,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Warehouse Manager,36280,1,1,Office Depot UK,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Program Manager,1651,13,10,Microsoft,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Program Manager,6036,7,6,Amazon,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Program Manager,1327,2,2,Dell,3.5,8,7,28.57143,2,0,0,71.42857,5
Program Manager,354,2,1,IBM,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Program Manager,264998,2,1,Logi Analytics,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Program Manager,40772,1,1,Facebook,3.2,5,5,100,5,0,0,0,0
Program Manager,122537,1,1,Guidewire,3,5,5,100,5,0,0,0,0
Program Manager,8843,1,1,Citi,2.6666667,3,4,50,2,0,0,50,2
Program Manager,274320,1,1,Gilt Groupe,3,4,4,25,1,50,2,25,1
Program Manager,7853,1,1,eBay,3.25,4,4,75,3,0,0,25,1
Strategic Account Manager,11159,1,1,Salesforce,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Strategic Account Manager,9079,1,1,Google,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Applications Engineer,197851,9,9,Workday,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Applications Engineer,100546,3,3,Paddy Power Betfair,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Applications Engineer,49,3,3,Analog Devices,3.5,8,7,28.57143,2,0,0,71.42857,5
Applications Engineer,225,1,1,Emerson,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Applications Engineer,1105237,1,1,BetBright,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Applications Engineer,5432,1,1,Citrix,3.2,5,5,100,5,0,0,0,0
Applications Engineer,296880,1,1,An Post,3,5,5,100,5,0,0,0,0
Applications Engineer,152718,1,1,Globoforce Limited,2.6666667,3,4,50,2,0,0,50,2
Electrical Engineer,429337,2,2,ESBI,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Electrical Engineer,31809,1,1,Arup,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Electrical Engineer,525,1,1,Pfizer,3.5,8,7,28.57143,2,0,0,71.42857,5
Senior Software Developer,41925,3,3,Travelport,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Senior Software Developer,2786,2,1,Fidelity Investments,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Senior Software Developer,1105237,1,1,BetBright,3.5,8,7,28.57143,2,0,0,71.42857,5
Senior Software Developer,457601,1,1,Compass Informatics,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Senior Software Developer,1382100,1,1,DCSL Software,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Senior Software Developer,4138,1,1,Accenture,3.2,5,5,100,5,0,0,0,0
Senior Software Developer,485743,0,1,Virtus Partners,3,5,5,100,5,0,0,0,0
Senior Software Developer,374128,1,1,123.ie,2.6666667,3,4,50,2,0,0,50,2
Senior Software Developer,147562,1,1,Afilias,3,4,4,25,1,50,2,25,1
Senior Software Developer,1327,1,1,Dell,3.25,4,4,75,3,0,0,25,1
Software Developer,6036,45,31,Amazon,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Software Developer,1651,30,28,Microsoft,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Software Developer,197851,16,9,Workday,3.5,8,7,28.57143,2,0,0,71.42857,5
Software Developer,4138,10,7,Accenture,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Software Developer,2244,6,6,McAfee,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Software Developer,2786,10,5,Fidelity Investments,3.2,5,5,100,5,0,0,0,0
Software Developer,10471,5,5,SAP,3,5,5,100,5,0,0,0,0
Software Developer,354,6,5,IBM,2.6666667,3,4,50,2,0,0,50,2
Software Developer,41925,5,5,Travelport,3,4,4,25,1,50,2,25,1
Software Developer,301291,4,4,Groupon,3.25,4,4,75,3,0,0,25,1
Site Reliability Engineer,9079,19,18,Google,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Site Reliability Engineer,34865,1,1,LinkedIn,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Site Reliability Engineer,1651,1,1,Microsoft,3.5,8,7,28.57143,2,0,0,71.42857,5
Site Reliability Engineer,11159,4,1,Salesforce,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Site Reliability Engineer,687287,1,1,Pivotal,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Software Quality Engineer,726549,1,1,Johnson & Johnson Vision Care,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Senior Software Engineer,197851,10,10,Workday,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Senior Software Engineer,227605,12,7,HubSpot,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Senior Software Engineer,876778,6,5,Jet,3.5,8,7,28.57143,2,0,0,71.42857,5
Senior Software Engineer,3472,4,4,Ericsson-Worldwide,3.3333333,6,6,50,3,16.666668,1,33.333336,2
