company_name,company_id,website,company_logo_url,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL,numberOfRatings,overallRating,ratingDescription,workLifeBalanceRating,careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,recommendToFriendRating,seniorLeadershipRating,ceo_name,ceo_title,ceo_Photo_URL,ceo_numberOfRatings,ceo_approval_rate,review_URL,review_ID,review_pros,review_cons,review_overall,review_location,review_DateTime,review_currentJob,review_jobTitle,review_location,industryName,industryId,sectorName,sectorId,exactMatch
Furlong Flooring,1043951,www.furlongflooring.ie,https://media.glassdoor.com/sqll/1043951/furlong-flooring-squarelogo-1440750236616.png,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,True
Future Finance Loan Corp,1328913,www.futurefinance.com,https://media.glassdoor.com/sqll/1328913/future-finance-loan-corp-squarelogo-1517267135347.png,,,,10,4.0,Satisfied,3.6,4.1,3.4,4.4,88,3.8,Alex King,CEO,https://media.glassdoor.com/people/sqll/1328913/future-finance-loan-corp-ceo1516226754441.png,3.0,100.0,https://www.glassdoor.com/Reviews/Employee-Review-Future-Finance-Loan-Corp-RVW20713308.htm,20713308.0,"Amazing staff, fun, challenging, cool startup environment","Pay is below average, office infrastructure",5.0,,2018-05-23 06:41:57.533,False,Employee,,Lending,200054.0,Finance,10010.0,True
Future Focus Infotech,421459,www.focusinfotech.com,https://media.glassdoor.com/sqll/421459/future-focus-infotech-squarelogo.png,,,,313,4.0,Satisfied,3.6,3.8,3.3,3.6,79,3.5,Hari L Mundra,Chairman & Director,https://media.glassdoor.com/people/sqll/421459/future-focus-infotech-hari-l-mundra.png,158.0,86.0,,,,,,,,,,,IT Services,200064.0,Information Technology,10013.0,False
g2 Recruitment,977153,www.g2recruitment.com,https://media.glassdoor.com/sqll/977153/g2-recruitment-solutions-squarelogo-1435325613964.png,g2v Careers,1543007.0,https://media.glassdoor.com/sql/1543007/g2v-careers-squarelogo-1529425240619.png,68,4.7,Very Satisfied,3.8,4.7,4.6,4.5,92,4.6,James Gorfin,Managing Director,https://media.glassdoor.com/people/sqll/977153/g2-recruitment-ceo1490268326628.png,50.0,100.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,False
g2v Careers,1543007,www.g2vcareers.com,https://media.glassdoor.com/sqll/1543007/g2v-careers-squarelogo-1529425240619.png,,,,11,4.3,Very Satisfied,3.2,4.3,4.3,3.9,83,4.1,James Gorfin,CEO,,10.0,82.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,True
Galmont Consulting,466781,www.galmont.com,https://media.glassdoor.com/sqll/466781/galmont-consulting-squarelogo.png,,,,8,4.0,Satisfied,3.3,3.5,3.4,3.6,81,4.0,Jeri Smith,President,,7.0,84.0,,,,,,,,,,,Computer Hardware & Software,200060.0,Information Technology,10013.0,True
Game On Media,1141871,www.gameonmedia.ie,https://media.glassdoor.com/sqll/1141871/game-on-media-squarelogo-1475167952876.png,,,,7,4.1,Very Satisfied,4.4,4.1,3.2,4.1,74,4.1,,,,,,https://www.glassdoor.com/Reviews/Employee-Review-Game-On-Media-RVW21379348.htm,21379348.0,"First of all, great location in city centre!
People here all share a strong sense of responsibility. Everyone is collaborative and willing to help others.
The company has fostered organisational culture where everyone can be genuine and feel comfortable. There are more than 20 different nationalities from all around the world. Diversity is a value that Game on Media holds, which is really great.
Good perks like gym discount, pizza day, Tuesday donuts, and some fun / sports stuff being organised by lads.","Benefits could be better, but I am aware that Game on media is working on it to improve.",5.0,"Dublin, Co. Dublin (Ireland)",2018-07-08 05:11:19.213,True,Product,"Dublin, Co. Dublin (Ireland)",Gambling,200013.0,"Arts, Entertainment & Recreation",10004.0,True
Gap,114118,www.gap.com,https://media.glassdoor.com/sqll/114118/gap-squarelogo-1522775165854.png,Gap Inc.,1070099.0,https://media.glassdoor.com/sql/1070099/gap-inc-squarelogo-1522775197081.png,4650,3.6,Satisfied,3.4,3.1,3.3,3.8,67,3.1,Art Peck,CEO,https://media.glassdoor.com/people/sqll/114118/gap-ceo1504029142046.png,822.0,78.0,https://www.glassdoor.com/Reviews/Employee-Review-Gap-RVW17650545.htm,17650545.0,Good Pay at my level,Long hours at work here,5.0,,2017-10-31 09:34:05.507,True,Employee,,"Department, Clothing, & Shoe Stores",200105.0,Retail,10022.0,True
Gap Inc.,1070099,jobs.gapinc.com,https://media.glassdoor.com/sqll/1070099/gap-inc-squarelogo-1522775197081.png,,,,736,3.5,Satisfied,3.4,3.1,3.4,3.8,67,3.0,Art Peck,CEO,https://media.glassdoor.com/people/sqll/1070099/gap-inc-ceo1504028790398.png,299.0,78.0,https://www.glassdoor.com/Reviews/Employee-Review-Gap-Inc-RVW16432851.htm,16432851.0,Nice staff discount . 50 percent staff discount,No extra hours. To many workload and never enough staff,3.0,,2017-08-19 11:12:13.373,False,Employee,,"Department, Clothing, & Shoe Stores",200105.0,Retail,10022.0,False
G Adventures,382163,www.gadventures.com,https://media.glassdoor.com/sqll/382163/g-adventures-squarelogo-1454534595095.png,,,,114,4.2,Very Satisfied,3.8,3.9,3.4,4.6,81,3.8,Bruce Poon Tip,Founder,https://media.glassdoor.com/people/sqll/382163/g-adventures-bruce-poon-tip.png,81.0,92.0,,,,,,,,,,,Travel Agencies,200144.0,Travel & Tourism,10025.0,False
"GAP Solutions, Inc. (GAPSI)",108676,www.gapsi.com,https://media.glassdoor.com/sqll/108676/gap-solutions-inc-gapsi-squarelogo-1479242883911.png,System One,195744.0,https://media.glassdoor.com/sql/195744/system-one-squarelogo-1515763128784.png,70,3.5,Satisfied,4.0,2.8,3.3,3.4,66,3.1,Eric Wolking,CEO,https://media.glassdoor.com/people/sqll/108676/gap-solutions-inc-gapsi-eric-wolking.png,20.0,66.0,,,,,,,,,,,Consulting,200028.0,Business Services,10006.0,False
The Gap Partnership,498642,www.thegappartnership.com,https://media.glassdoor.com/sqll/498642/the-gap-partnership-squarelogo-1437937969725.png,,,,30,3.8,Satisfied,3.0,3.0,3.6,3.7,69,3.5,Steve Gates,CEO,https://media.glassdoor.com/people/sqll/498642/the-gap-partnership-steve-gates.png,24.0,76.0,,,,,,,,,,,Consulting,200028.0,Business Services,10006.0,False
Gap Ministries,714189,www.gapmin.com,https://media.glassdoor.com/sqll/714189/gap-ministries-squarelogo-1464087693309.png,,,,21,3.7,Satisfied,3.5,3.5,4.1,4.0,67,3.8,Greg Ayers,President & Founder,,13.0,85.0,,,,,,,,,,,Social Assistance,200089.0,Non-Profit,10018.0,False
GAP MEDICS,1268771,www.gapmedics.com,https://media.glassdoor.com/sqll/1268771/gap-medics-squarelogo-1529671675017.png,,,,17,2.4,Dissatisfied,2.4,2.6,2.4,2.6,26,2.2,,,,,,,,,,,,,,,,Education Training Services,200045.0,Education,10009.0,False
GAP Promo,971083,www.gappromo.com,https://media.glassdoor.com/sqll/971083/gap-promo-squarelogo-1430492679699.png,,,,6,3.6,Satisfied,3.5,3.5,3.4,3.6,67,3.7,Gayle Piraino,Founder and President,,5.0,67.0,,,,,,,,,,,Advertising & Marketing,200022.0,Business Services,10006.0,False
GAP Vassilopoulos Group,496131,www.gapgroup.com,,,,,4,3.3,OK,3.0,2.3,2.3,2.8,0,2.8,,,,,,,,,,,,,,,,Transportation Management,200131.0,Transportation & Logistics,10024.0,False
GAP Minisistries (NY),1160209,www.godbridgesthegap.org,,,,,1,3.0,OK,1.0,1.0,5.0,5.0,100,5.0,,,,,,,,,,,,,,,,,,,,False
GARLAND,1172864,www.garlandconsultancy.com,https://media.glassdoor.com/sqll/1172864/garland-squarelogo-1516002024305.png,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,Construction,200036.0,"Construction, Repair & Maintenance",10007.0,True
Garland (Portugal),1973003,www.garland.pt,,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,True
Garland (NC),2181843,www.garlandraleigh.com,,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,True
Garland Independent School District,118133,www.garlandisd.net,https://media.glassdoor.com/sqll/118133/garland-isd-squarelogo.png,,,,84,3.8,Satisfied,3.4,3.5,3.5,3.8,78,3.1,"Curtis Culwell, Ed.D.",Superintendent of Schools,https://media.glassdoor.com/people/sqll/118133/garland-isd-curtis-culwell-ed-d.png,38.0,98.0,,,,,,,,,,,Preschool & Child Care,200047.0,Education,10009.0,False
"City of Garland, Texas",389311,www.ci.garland.tx.us,https://media.glassdoor.com/sqll/389311/city-of-garland-texas-squarelogo-1429539520187.png,,,,31,3.8,Satisfied,4.1,3.4,3.5,3.7,83,3.3,William E. Dollar,City Manager,,14.0,74.0,,,,,,,,,,,Municipal Governments,200057.0,Government,10011.0,False
Garland Technology,1410146,www.garlandtechnology.com,https://media.glassdoor.com/sqll/1410146/garland-technology-squarelogo-1522068547302.png,,,,8,3.4,OK,3.5,3.1,3.4,3.5,63,3.3,Chris Bihary,CEO/Co-Founder,,3.0,64.0,,,,,,,,,,,Computer Hardware & Software,200060.0,Information Technology,10013.0,False
Garland Group,1562846,www.garland-group.com,,,,,6,2.8,OK,3.6,1.8,2.6,2.0,62,2.5,,,,,,,,,,,,,,,,,,,,False
Garland County Sheriff,210105,www.garlandcounty.org/sheriff_dept.htm,,,,,2,2.8,OK,3.9,2.8,2.8,1.9,44,2.8,,,,,,,,,,,,,,,,Municipal Governments,200057.0,Government,10011.0,False
Garland Police Department,204682,www.ci.garland.tx.us/home/departments/public+safety/police,,,,,1,2.0,Dissatisfied,2.0,3.0,5.0,1.0,0,2.0,,,,,,,,,,,,,,,,Municipal Governments,200057.0,Government,10011.0,False
Houlette & Garland,1713491,,,,,,1,5.0,Very Satisfied,4.0,5.0,3.0,5.0,100,5.0,,,,,,,,,,,,,,,,,,,,False
Gavin de Becker & Associates,14148,www.gdba.com,https://media.glassdoor.com/sqll/14148/gavin-de-becker-and-associates-squarelogo-1526507692728.png,,,,82,4.2,Very Satisfied,3.1,4.1,3.7,4.2,83,4.0,Gavin de Becker,Chairman and CEO,,51.0,94.0,,,,,,,,,,,Security Services,200031.0,Business Services,10006.0,True
GCS,534656,www.geocontrol.com,https://media.glassdoor.com/sqll/534656/gcs-squarelogo-1424856494290.png,,,,28,3.4,OK,3.0,2.8,2.7,2.6,58,2.5,Rose Zarcaro,CEO,,12.0,70.0,,,,,,,,,,,Accounting,200001.0,Accounting & Legal,10001.0,True
GCS,1139898,www.gcs-dc.com,,,,,4,4.2,Very Satisfied,4.2,4.0,4.2,4.0,100,4.5,Michael Sigal,President,https://media.glassdoor.com/people/sqll/1139898/gcs-ceo1507687140734.png,1.0,100.0,,,,,,,,,,,,,,,True
GCS Recruitment,895439,www.gcsltd.com,https://media.glassdoor.com/sqll/895439/gcs-recruitment-squarelogo-1508252137890.png,,,,58,4.7,Very Satisfied,4.2,4.6,4.5,4.6,93,4.6,David Bloxham,Managing Director,https://media.glassdoor.com/people/sqll/895439/gcs-recruitment-david-bloxham.png,51.0,93.0,https://www.glassdoor.com/Reviews/Employee-Review-GCS-Recruitment-RVW17437456.htm,17437456.0,Great atmosphere in the office and around the organisation. Clear progression path with plenty of rewards along the way. Excellent commission structure and incentives.,"Hours can be long, but that's part and parcel of recruitment. You get out what you put in!",5.0,"Dublin, Co. Dublin (Ireland)",2017-10-19 05:25:01.223,True,Consultant,"Dublin, Co. Dublin (Ireland)",Staffing & Outsourcing,200032.0,Business Services,10006.0,False
GCS Technologies,982050,www.gcstechnologies.com,https://media.glassdoor.com/sqll/982050/gcs-technologies-squarelogo-1475173471025.png,,,,12,4.6,Very Satisfied,4.4,4.1,4.5,4.4,91,4.2,Joe Gleinser,President,,8.0,100.0,,,,,,,,,,,IT Services,200064.0,Information Technology,10013.0,False
GCS Credit Union,1663397,www.mygcscu.com,https://media.glassdoor.com/sqll/1663397/gcs-credit-union-squarelogo-1503392472523.png,,,,3,2.9,OK,1.9,2.3,3.6,2.9,64,2.6,,,,,,,,,,,,,,,,,,,,False
Twaijri GCS,911059,www.twaijrigcs.com,,,,,2,1.0,Very Dissatisfied,1.0,2.0,2.0,1.0,0,1.0,,,,,,,,,,,,,,,,IT Services,200064.0,Information Technology,10013.0,False
GCS|SIGAL,2112589,www.gcs-sigal.com,,,,,2,5.0,Very Satisfied,4.0,5.0,5.0,5.0,100,4.5,,,,,,,,,,,,,,,,,,,,False
GCS Computer Tech,1366699,www.gcsgroup.co.in,,,,,2,3.0,OK,2.5,2.5,2.5,2.5,100,2.0,,,,,,,,,,,,,,,,,,,,False
GCS - Nationwide Investigative Services,1666183,www.gcssiu.com,https://media.glassdoor.com/sqll/1666183/gcs-nationwide-investigative-services-squarelogo-1517988488407.png,,,,1,2.0,Dissatisfied,1.0,1.0,1.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,False
Bridgestone GCS,1047917,www.bridgestonegcs.com,,,,,1,1.0,Very Dissatisfied,1.0,1.0,1.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,False
GE Aviation,8674,www.geaviation.com,https://media.glassdoor.com/sqll/8674/ge-aviation-squarelogo-1414093234342.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,1308,3.6,Satisfied,3.6,3.6,3.5,3.5,68,3.1,David L. Joyce,President and CEO,https://media.glassdoor.com/people/sqll/8674/ge-aviation-david-l-joyce.png,612.0,81.0,,,,,,,,,,,Aerospace & Defense,200003.0,Aerospace & Defense,10002.0,True
Austin Digital,833732,www.ausdig.com,,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,Thom Mayer,CEO,,0.0,0.0,,,,,,,,,,,Computer Hardware & Software,200060.0,Information Technology,10013.0,False
GE Capital,7207,www.gecapital.com,https://media.glassdoor.com/sqll/7207/ge-capital-squarelogo-1432805619532.png,,,,1573,3.8,Satisfied,3.8,3.2,3.8,3.9,74,3.4,Richard Laxer,Chairman & CEO,,82.0,90.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Capital-RVW19890061.htm,19890061.0,interesting work and the management is brilliant,"long hours, they should allow flexi time",4.0,Shannon (Ireland),2018-03-27 08:46:23.69,False,Employee,Shannon (Ireland),Investment Banking & Asset Management,200053.0,Finance,10010.0,True
GE Capital,1553471,www.gecapitalbrasil.com.br,,,,,4,4.5,Very Satisfied,4.1,3.5,4.1,4.3,100,4.1,,,,,,,,,,,,,,,,,,,,True
Antares Capital,1037102,www.antares.com,https://media.glassdoor.com/sqll/1037102/antares-capital-squarelogo-1447095721907.png,,,,12,3.9,Satisfied,3.4,3.9,3.5,4.2,90,4.2,,,,,,,,,,,,,,,,Lending,200054.0,Finance,10010.0,False
Synchrony,852160,www.syfcareers.com,https://media.glassdoor.com/sqll/852160/synchrony-financial-squarelogo-1512591611460.png,,,,539,3.7,Satisfied,3.8,3.6,3.7,3.9,75,3.4,Margaret M. Keane,President & CEO,,339.0,91.0,,,,,,,,,,,Banks & Credit Unions,200048.0,Finance,10010.0,False
Arden Realty,634216,www.ardenrealty.com,https://media.glassdoor.com/sqll/634216/arden-realty-squarelogo-1442480557032.png,,,,9,3.7,Satisfied,4.0,3.7,4.2,4.1,69,4.0,,,,,,,,,,,,,,,,Real Estate,200094.0,Real Estate,10020.0,False
GE Healthcare,4112,www.gehealthcare.com,https://media.glassdoor.com/sqll/4112/ge-healthcare-squarelogo-1432805568628.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,2521,3.6,Satisfied,3.6,3.5,3.5,3.6,70,3.2,Kieran Murphy,President and CEO,,163.0,84.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Healthcare-RVW15527258.htm,15527258.0,Lot of good experience. Lots of possibilities for progression. Job security.  Permenancy after 12 months. Incremental wage increases every 6 months. Bonus at Christmas. Healthcare plan and pension scheme. Subsidised canteen. Very good breaks.,Relatively low starting wage compared to other pharmaceuticals. Lot of reading of SOPS before you are allowed do any work. Relatively poor training and development structure. Little possibility for individual input. No real responsibility as such. Lot of downtime between batches. Very poor facilities during downtime. Could be used to enhance training. Little choice over what work you want to do.,4.0,Carrigtwohill (Ireland),2017-06-18 22:33:06.513,True,Process Operator,Carrigtwohill (Ireland),Health Care Services & Hospitals,200059.0,Health Care,10012.0,True
GE Power,740889,www.gepower.com,https://media.glassdoor.com/sqll/740889/ge-power-and-water-squarelogo-1398969734187.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,889,3.4,OK,3.6,3.3,3.4,3.4,60,2.9,Russell Stokes,President and CEO,https://media.glassdoor.com/people/sqll/740889/ge-power-ceo1502109199150.png,106.0,65.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Power-RVW7127308.htm,7127308.0,"Fast paced, forward thinking, innovative & exciting company to work in. Talent development is a strategic imperative for the business.","High likelihood that I will have to travel internationally in order to progress to senior management/executive role. Different GE businesses don't collaborate enough, there is a huge opportunity to learn from one another.",5.0,Cork (Ireland),2015-07-06 15:25:30.497,True,CPM,Cork (Ireland),Energy,200090.0,"Oil, Gas, Energy & Utilities",10019.0,True
NGSL,1364091,www.nasl-india.com,https://media.glassdoor.com/sqll/1364091/ngsl-squarelogo-1504882586522.png,,,,5,3.1,OK,3.0,2.5,2.6,2.7,36,1.7,,,,,,,,,,,,,,,,,,,,False
GE,277,www.ge.com,https://media.glassdoor.com/sqll/277/ge-squarelogo-1432804551502.png,,,,8288,3.6,Satisfied,3.5,3.5,3.5,3.6,68,3.1,John L. Flannery,CEO and Chairman,https://media.glassdoor.com/people/sqll/277/ge-ceo1502109507908.png,550.0,76.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-RVW20994833.htm,20994833.0,GOOD place to work and learn,maybe the salary needs to increase,4.0,,2018-06-11 17:29:19.663,True,Employee,,Enterprise Software & Network Solutions,200061.0,Information Technology,10013.0,False
GE Energy Connections,832672,www.geenergyconnections.com,https://media.glassdoor.com/sqll/832672/ge-energy-management-squarelogo-1406232724592.png,,,,213,3.1,OK,3.6,3.3,3.7,3.5,49,2.9,Russell Stokes,President and CEO,https://media.glassdoor.com/people/sqll/832672/ge-energy-connections-russell-stokes.png,47.0,64.0,,,,,,,,,,,Energy,200090.0,"Oil, Gas, Energy & Utilities",10019.0,False
GE Capital,7207,www.gecapital.com,https://media.glassdoor.com/sqll/7207/ge-capital-squarelogo-1432805619532.png,,,,1573,3.8,Satisfied,3.8,3.2,3.8,3.9,74,3.4,Richard Laxer,Chairman & CEO,,82.0,90.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Capital-RVW19890061.htm,19890061.0,interesting work and the management is brilliant,"long hours, they should allow flexi time",4.0,Shannon (Ireland),2018-03-27 08:46:23.69,False,Employee,Shannon (Ireland),Investment Banking & Asset Management,200053.0,Finance,10010.0,False
GE Healthcare,4112,www.gehealthcare.com,https://media.glassdoor.com/sqll/4112/ge-healthcare-squarelogo-1432805568628.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,2521,3.6,Satisfied,3.6,3.5,3.5,3.6,70,3.2,Kieran Murphy,President and CEO,,163.0,84.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Healthcare-RVW15527258.htm,15527258.0,Lot of good experience. Lots of possibilities for progression. Job security.  Permenancy after 12 months. Incremental wage increases every 6 months. Bonus at Christmas. Healthcare plan and pension scheme. Subsidised canteen. Very good breaks.,Relatively low starting wage compared to other pharmaceuticals. Lot of reading of SOPS before you are allowed do any work. Relatively poor training and development structure. Little possibility for individual input. No real responsibility as such. Lot of downtime between batches. Very poor facilities during downtime. Could be used to enhance training. Little choice over what work you want to do.,4.0,Carrigtwohill (Ireland),2017-06-18 22:33:06.513,True,Process Operator,Carrigtwohill (Ireland),Health Care Services & Hospitals,200059.0,Health Care,10012.0,False
GE Oil & Gas,39377,www.bhge.com,https://media.glassdoor.com/sqll/39377/ge-oil-squarelogo.png,"Baker Hughes, a GE company",1902699.0,https://media.glassdoor.com/sql/1902699/baker-hughes-a-ge-company-squarelogo-1513180269435.png,684,3.3,OK,3.4,3.2,3.5,3.4,58,2.8,Lorenzo Simonelli,President and CEO,https://media.glassdoor.com/people/sqll/39377/ge-oil-and-gas-lorenzo-simonelli.png,267.0,67.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Oil-and-Gas-RVW9351622.htm,9351622.0,"Extensive training available free of charge - you can learn almost anything.
Very interconnected - it is possible to reach people across the globe even if they are in the top management positions.
Value driven.","Certain amount of bureaucracy and policies - inevitable in enterprise of this size. 
A lot of office politics. Not always transparent.",5.0,,2016-01-27 05:04:46.203,False,Employee,,Oil & Gas Services,200092.0,"Oil, Gas, Energy & Utilities",10019.0,False
GE Power,740889,www.gepower.com,https://media.glassdoor.com/sqll/740889/ge-power-and-water-squarelogo-1398969734187.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,889,3.4,OK,3.6,3.3,3.4,3.4,60,2.9,Russell Stokes,President and CEO,https://media.glassdoor.com/people/sqll/740889/ge-power-ceo1502109199150.png,106.0,65.0,https://www.glassdoor.com/Reviews/Employee-Review-GE-Power-RVW7127308.htm,7127308.0,"Fast paced, forward thinking, innovative & exciting company to work in. Talent development is a strategic imperative for the business.","High likelihood that I will have to travel internationally in order to progress to senior management/executive role. Different GE businesses don't collaborate enough, there is a huge opportunity to learn from one another.",5.0,Cork (Ireland),2015-07-06 15:25:30.497,True,CPM,Cork (Ireland),Energy,200090.0,"Oil, Gas, Energy & Utilities",10019.0,False
GE Aviation,8674,www.geaviation.com,https://media.glassdoor.com/sqll/8674/ge-aviation-squarelogo-1414093234342.png,GE,277.0,https://media.glassdoor.com/sql/277/ge-squarelogo-1432804551502.png,1308,3.6,Satisfied,3.6,3.6,3.5,3.5,68,3.1,David L. Joyce,President and CEO,https://media.glassdoor.com/people/sqll/8674/ge-aviation-david-l-joyce.png,612.0,81.0,,,,,,,,,,,Aerospace & Defense,200003.0,Aerospace & Defense,10002.0,False
Portland General Electric,541,www.portlandgeneral.com,https://media.glassdoor.com/sqll/541/portland-general-electric-squarelogo-1467909015878.png,,,,114,3.9,Satisfied,3.8,3.4,3.7,3.9,78,3.3,Maria Pope,President and CEO,https://media.glassdoor.com/people/sqll/541/portland-general-electric-ceo1518464268010.png,9.0,92.0,,,,,,,,,,,Energy,200090.0,"Oil, Gas, Energy & Utilities",10019.0,False
GE Appliances,1418961,www.geappliances.com,https://media.glassdoor.com/sqll/1418961/ge-appliances-squarelogo-1505304732217.png,Haier Group,14379.0,https://media.glassdoor.com/sql/14379/haier-group-squarelogo-1424435423765.png,112,4.0,Satisfied,4.0,3.8,3.9,3.8,77,3.8,Kevin Nolan,President and Chief Executive Officer,https://media.glassdoor.com/people/sqll/1418961/ge-appliances-ceo1505117521550.png,37.0,83.0,,,,,,,,,,,Consumer Products Manufacturing,200069.0,Manufacturing,10015.0,False
GE Marketing,672587,www.gemarketinginc.com,https://media.glassdoor.com/sqll/672587/ge-marketing-squarelogo-1441867781285.png,,,,42,3.3,OK,2.9,3.6,3.2,3.6,62,3.7,Andrew Balter,CEO,,6.0,48.0,,,,,,,,,,,Advertising & Marketing,200022.0,Business Services,10006.0,False
Genesys,10078,www.genesys.com,https://media.glassdoor.com/sqll/10078/genesys-squarelogo-1495726412522.png,,,,911,3.7,Satisfied,4.0,3.7,3.8,3.9,71,3.7,Paul Segre,Chief Executive Officer,https://media.glassdoor.com/people/sqll/10078/genesys-ceo1529524678422.png,629.0,85.0,https://www.glassdoor.com/Reviews/Employee-Review-Genesys-RVW20185633.htm,20185633.0,Genesys care very much about their employees welfare and make sure the people they hire fit into the culture so we always work with like minded people,As we are global there is a lot of global travel,5.0,"Dublin, Co. Dublin (Ireland)",2018-04-17 00:02:09.743,True,Lead Generation,"Dublin, Co. Dublin (Ireland)",Computer Hardware & Software,200060.0,Information Technology,10013.0,True
Genesys Health System,19122,www.genesys.org,https://media.glassdoor.com/sqll/19122/genesys-health-system-squarelogo-1426490721204.png,Ascension,1036988.0,https://media.glassdoor.com/sql/1036988/ascension-squarelogo-1495697031011.png,40,3.3,OK,2.9,3.0,3.3,3.5,58,2.8,Chris Palazzolo,President,,1.0,0.0,,,,,,,,,,,Health Care Services & Hospitals,200059.0,Health Care,10012.0,False
Genesys Works,644887,www.genesysworks.org,https://media.glassdoor.com/sqll/644887/genesys-works-squarelogo-1511797181418.png,,,,25,3.7,Satisfied,3.4,3.8,3.6,4.1,73,3.5,Rafael Alvarez,CEO and Founder,https://media.glassdoor.com/people/sqll/644887/genesys-works-ceo1518496106757.png,4.0,35.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,False
Genesys International,534736,www.igenesys.com,https://media.glassdoor.com/sqll/534736/genesys-international-squarelogo-1427196547888.png,,,,22,3.2,OK,3.0,3.0,2.5,3.2,58,2.8,,,,,,,,,,,,,,,,Accounting,200001.0,Accounting & Legal,10001.0,False
GENESYS Systems Integrator,336896,www.genesyscorp.net,https://media.glassdoor.com/sqll/336896/genesys-systems-integrator-squarelogo.png,,,,15,4.0,Satisfied,3.4,3.8,3.6,4.0,83,3.5,Patrick Perry,President,,7.0,84.0,,,,,,,,,,,Industrial Manufacturing,200073.0,Manufacturing,10015.0,False
Genesys Talent,1085325,www.genesystalent.com,https://media.glassdoor.com/sqll/1085325/genesys-talent-squarelogo-1480701349556.png,,,,13,5.0,Very Satisfied,4.5,5.0,4.9,5.0,100,5.0,Rick Roberts,Founder and President,,9.0,100.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,False
Cell Genesys,2274,www.cellgenesys.com,https://media.glassdoor.com/sqll/2274/cell-genesys-squarelogo-1424420825584.png,,,,7,4.0,Satisfied,3.9,3.5,3.7,3.0,87,3.2,Steve Sherwin,Chairman and CEO,,5.0,100.0,,,,,,,,,,,Biotech & Pharmaceuticals,200021.0,Biotech & Pharmaceuticals,10005.0,False
GENESYS Consulting Services,262849,www.genesysonline.com,https://media.glassdoor.com/sqll/262849/genesys-consulting-services-squarelogo-1451477744314.png,,,,5,4.3,Very Satisfied,4.2,4.1,4.2,4.3,100,4.3,Cathy L. Bruschi,Chairman and CEO,,3.0,100.0,,,,,,,,,,,IT Services,200064.0,Information Technology,10013.0,False
Genesys Informatic,1466592,www.egenesys.com,,,,,3,3.4,OK,2.2,4.6,4.2,3.6,65,4.2,,,,,,,,,,,,,,,,,,,,False
Genesys Aerosystems,1397883,www.genesys-aerosystems.com,https://media.glassdoor.com/sqll/1397883/genesys-aerosystems-squarelogo-1507021457643.png,,,,2,4.5,Very Satisfied,4.5,4.0,4.5,4.5,100,4.5,Roger Smith,President and CEO,https://media.glassdoor.com/people/sqll/1397883/genesys-aerosystems-ceo1510289252503.png,0.0,0.0,,,,,,,,,,,,,,,False
Geneva Trading,288835,www.geneva-trading.com,https://media.glassdoor.com/sqll/288835/geneva-trading-squarelogo-1461618492088.png,,,,52,3.9,Satisfied,3.7,3.7,3.2,3.9,72,3.8,Robert Creamer,President and CEO,,27.0,91.0,https://www.glassdoor.com/Reviews/Employee-Review-Geneva-Trading-RVW16005142.htm,16005142.0,Great knowledge sharing and group orientated focus. Excellent training provided and good group of people to work with.,No cons that stand out.,5.0,"Dublin, Co. Dublin (Ireland)",2017-07-21 05:57:03.657,True,Employee,"Dublin, Co. Dublin (Ireland)",Investment Banking & Asset Management,200053.0,Finance,10010.0,True
